3120 3283 1
3130 3304 1
3155 3179 1
3163 3214 1
3203 3417 1
3228 3428 1
3235 3384 1
3261 3251 1
3280 3389 1
3323 3360 1
3336 3464 1
3353 3221 1
3372 3462 1
3386 3400 1
3412 3332 1
3438 3337 1
3112 3245 1
3181 3144 1
3208 3285 1
3256 3108 1
3314 3263 1
3328 3140 1
3330 3453 1
3345 3171 1
3349 3364 1
3374 3301 1
3390 3276 1
3397 3202 1
3403 3399 1
3408 3436 1
3435 3242 1
3443 3266 1
3163 3155 1
3235 3228 1
3261 3372 1
3323 3203 1
3336 3120 1
3353 3386 1
3412 3280 1
3438 3130 1
3181 3443 1
3208 3390 1
3256 3435 1
3314 3349 1
3328 3345 1
3330 3374 1
3397 3112 1
3403 3408 1
3163 3328 1
3208 3314 1
3256 3330 1
3261 3181 1
3336 3235 1
3353 3412 1
3397 3438 1
3403 3323 1
3163 3261 1
3336 3256 1
3353 3208 1
3397 3403 1
3163 3336 1
3397 3353 1
3163 3397 1
